IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
58617,2966,Pass with distinction,0,1,1.4,3.54,4.4,4.4,4.17
43175,2967,Pass,0,1,1.4,2.76,3.82,3.24,3.21
86703,2968,Pass with distinction,0,1,1.5,2.08,3.06,3.28,2.58
70423,2969,Pass with distinction,0,1,1.5,2.99,3.71,3.64,3.66
40331,2970,Pass with distinction,0,1,1.5,3.26,4.16,4.04,4.03
51801,2971,Pass,0,1,1.5,1.95,3.94,3.6,3.14
90562,2972,Pass,0,1,1.5,2.08,2.78,2.78,2.84
38227,2973,Pass,0,1,1.5,2.99,3,2.32,2.74
52742,2974,Pass with distinction,0,1,1.5,2.35,3.53,4.3,3.9
36906,2975,Pass with distinction,0,1,1.5,2.35,3.29,3.8,3.17
88329,2976,Pass with distinction,0,1,1.5,2.7,3.53,3.43,3.21
67113,2977,Pass with distinction,1,0,1.5,2.29,3.84,4.08,4.24
88674,2978,Pass with distinction,1,0,1.5,3.2,3.47,3.76,3.66
25764,2979,Pass,0,1,1.5,3.61,3.39,3.7,3.17
91693,2980,Pass with distinction,1,0,1.5,3.26,3.63,4.06,3.8
30760,2981,Pass with distinction,1,0,1.5,3.33,3.55,3.84,3.94
84055,2982,Pass with distinction,0,1,1.5,2.42,4.04,4.28,3.72
81766,2983,Pass with distinction,0,1,1.5,3.04,2.88,3.2,3
25607,2984,Pass,0,1,1.3,2.81,2.88,2.3,3.13
73204,2985,Pass with distinction,0,1,1.3,4.03,4.24,4.53,4.13
79928,2986,Pass,1,0,1.3,3.66,3.53,2.61,3.61
93000,2987,Pass,0,1,1.3,2.86,4.02,3.92,3.84
37145,2988,Pass,0,1,1.3,2.95,3.33,3.36,3.66
80589,2989,Pass,1,0,1.4,2.19,2.53,3.26,3.42
53130,2990,Pass,0,1,1.4,2.99,3.89,3.31,3.29
64199,2991,Pass with distinction,1,0,1.4,2.64,4,4.27,4.06
88673,2992,Pass,0,1,1.4,2.64,3.4,3.25,3.26
46937,2993,Pass,0,1,1.4,2.02,2.8,2.66,2.94
87277,2994,Pass,0,1,1.4,4.3,4.36,4.15,4.26
44299,2995,Pass,0,1,1.4,2.66,2.98,2.53,3.39
81281,2996,Pass,0,1,1.4,3.33,3.96,3.14,3.07
61566,2997,Borderline pass,0,1,1.4,1.95,3.02,2.18,2.45
42282,2998,Pass with distinction,0,1,1.4,2.68,4.29,4.7,4.26
80031,2999,Pass,0,1,1.4,2.71,3.56,4.06,3.71
92484,3000,Borderline pass,0,1,1.5,2.5,2.91,1.77,2.58
78001,3001,Pass,0,1,1.4,2.41,3.04,3,2.61
87508,3002,Pass,1,0,1.4,3.47,3.8,3.9,3.74
27376,3003,Pass with distinction,0,1,1.5,3.82,4.31,4.47,4.45
48502,3004,Pass with distinction,0,1,1.5,4.38,3.76,3.88,3.81
36589,3005,Pass,0,1,1.5,1.67,2.9,3.25,3.2
88479,3006,Pass with distinction,0,1,1.5,3.06,3.92,4.21,3.68
30462,3007,Pass,0,1,1.5,4.51,3.27,3.37,2.97
46237,3008,Pass,0,1,1.5,3.47,3.27,3.06,3.35
33346,3009,Pass with distinction,0,1,1.5,1.79,3.57,3.6,3.41
25155,3010,Pass with distinction,0,1,1.2,2.86,3.39,3.53,3.94
81024,3011,Pass,0,1,1.2,2.68,2.9,2.57,3.03
41958,3012,Pass,0,1,1.2,2.89,3.04,2.66,3.42
60726,3013,Pass,1,0,1.2,2.42,3.43,3.07,3.55
50574,3014,Borderline pass,0,1,1.5,3.05,2.35,1.41,2.16
53891,3015,Pass,0,1,1.3,2.4,3.51,2.44,2.94
30336,3016,Borderline pass,0,1,1.3,3.83,3.1,2.53,2.94
72374,3017,Pass,0,1,1.3,2.46,3.08,2.8,2.94
73694,3018,Pass,0,1,1.4,2.64,2.38,2.82,2.81
75664,3019,Borderline pass,0,1,1.4,3.2,3.09,2.11,2.08
42907,3020,Pass,0,1,1.3,3.98,3.76,3.11,3.39
91912,3021,Pass,0,1,1.3,3.52,3.35,2.8,3.42
79580,3022,Pass with distinction,1,0,1.3,3.33,3.78,4.38,4.65
24445,3023,Pass,1,0,1.3,2.5,3.27,2.31,2.97
81273,3024,Pass,0,1,1.3,1.92,2.65,2.07,3.16
60785,3025,Pass with distinction,0,1,1.3,3.75,4.22,4.23,3.97
84434,3026,Pass with distinction,1,0,1.3,3.44,3.65,4.13,4.29
82942,3027,Pass,0,1,1.3,2.89,3.78,3.19,3.65
57679,3028,Pass,0,1,1.3,2.9,3.88,3.45,2.81
38719,3029,Borderline pass,0,1,1.5,3.59,3.27,2.22,2.94
77327,3030,Borderline pass,0,1,1.3,2.5,3.31,2.22,2.13
47966,3031,Pass,0,1,1.3,4.38,3.92,3.43,2.94
35134,3032,Borderline pass,0,1,1.4,3.06,3.2,2.51,2.68
45217,3033,Borderline pass,0,1,1.5,2.29,2.96,1.67,2.45
96411,3034,Pass,0,1,1.4,2.42,3.76,3.98,3.45
34925,3035,Pass,0,1,1.4,3.16,4.11,4.11,3.42
77721,3036,Borderline pass,0,1,1.5,3.13,2.6,2.5,2.52
49795,3037,Pass with distinction,0,1,1.4,2.89,4.16,4.45,4.16
50735,3038,Pass,0,1,1.4,1.67,3.33,3.63,3.35
91629,3039,Pass with distinction,1,0,1.4,3.13,4.31,4.4,4.39
95665,3040,Pass,0,1,1.4,3.52,3.6,3.68,3.52
28728,3041,Pass,0,1,1.4,3.98,4,3.09,3.45
64106,3042,Pass with distinction,1,0,1.4,3.2,4.04,4.23,4.16
96596,3043,Pass,0,1,1.4,2.03,2.36,3.35,2.87
64982,3044,Pass,0,1,1.4,3.33,3.42,3.83,3.55
27052,3045,Pass with distinction,1,0,1.5,3.52,4.39,4.7,4.58
65054,3046,Pass with distinction,0,1,1.5,4.1,4.29,4.43,3.68
